"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","ly"
9,11,0.45008756528,1,0,8,0,0,1,0,0,0,0,0.515565260698,0.140558396864,8.38935981990635
9,11,0.585903081119,1,1,7,0,1,0,0,0,0,0,0.311031746032,0.095,7.86326672400957
9,11,0.510887771339,1,0,5,1,0,0,0,0,0,0,0.427181018768,0.0851811383061,6.65672652417839
9,16,0.421936758476,1,1,5,0,0,1,0,0,0,0,0.542891520244,0.185730201171,7.24422751560335
9,9,0.476033057064,1,0,6,0,0,0,0,0,1,0,0.469964955679,0.126641414141,7.3132203870903
10,10,0.465083798233,1,0,9,0,0,0,0,0,1,0,0.391339216339,0.114549339549,7.09007683577609
10,11,0.573469386585,2.64575131106459,0,8,0,1,0,0,0,0,0,0.596535353535,0.273977272727,7.09007683577609
10,13,0.550143264899,2.64575131106459,0,7,0,0,0,0,0,0,0,0.479621848739,0.18025210084,7.43838353004431
10,8,0.53768844086,1.4142135623731,0,8,0,1,0,0,0,0,0,0.523819073084,0.129032976827,7.3132203870903
10,9,0.409748666862,1,0,7,0,0,0,0,0,1,0,0.451914443581,0.0191854441854,7.00306545878646
11,10,0.598070737627,1,0,6,0,0,0,0,1,0,1,0.520849802372,0.200494071146,8.03915739047324
11,13,0.426229507731,2.44948974278318,0,10,0,0,0,0,0,1,1,0.416567460317,-0.00181405895692,7.60090245954208
12,8,0.452145214148,1,0,5,0,0,0,0,0,1,1,0.403396999826,0.110339858554,6.90775527898214
13,13,0.496025436413,1,1,6,0,0,0,0,0,1,0,0.449414730007,0.180781499203,7.78322401633604
13,11,0.450950569999,1,0,6,0,1,0,0,0,0,0,0.461459574752,0.112297657176,7.37775890822787
13,8,0.399659863719,1,0,6,1,0,0,0,0,0,0,0.440697309745,0.0586409732243,6.21460809842219
13,17,0.60557768683,1,0,5,0,0,0,0,1,0,0,0.343260281385,0.128689123377,7.54960916515453
13,7,0.489169674207,1,0,5,0,0,0,0,0,1,0,0.456942283069,0.0759174628189,6.52795791762255
13,11,0.476882430017,3.60555127546399,0,9,0,0,0,0,0,1,0,0.389368650218,-0.0977503628447,7.24422751560335
